pid,label,site_name,occupied,collection_number,material,description,motifs,teeth,fragmentation,context_type,gender,age,placement,length (cm),width (cm),order,layout,collection,thumbnail,full,manifest
53,Power House,Power House,1640-1660,RMSC 3462/24,bone,404. Fragment of comb with double dentition. Its teeth are thinner on one side than on the other. Its base is decorated with two series of two horizontal lines. It comes from the seneca Power House site dated 1640-1660 AD. J.-C. (RMSC 3462/24,none;,,fragment,unk,,,,,,052,qatar_item,combs,"/img/derivatives/iiif/images/53/full/250,/0/default.jpg","/img/derivatives/iiif/images/53/full/1140,/0/default.jpg",/img/derivatives/iiif/53/manifest.json
54,Power House,Power House,1640-1660,RMSC 753/24,bone,417. Complete double dentition comb. Its teeth are thinner on one side than on the other. It has 9 and 21 respectively. Landmarks are visible above the teeth. It has a length of 5.5 cm and a width of 3.5 cm. This comb comes from the seneca Power nozzle site dated 1640-1660 AD. J.-C. (RMSC 753/24,none;,,complete,unk,,,,5.5,3.5,053,qatar_item,combs,"/img/derivatives/iiif/images/54/full/250,/0/default.jpg","/img/derivatives/iiif/images/54/full/1140,/0/default.jpg",/img/derivatives/iiif/54/manifest.json
55,Power House,Power House,1640-1660,RMSC 2773/24,bone,433. Comb fragment. It comes from the seneca Power House site dating from 1640 to 1660 AD. J.-C. (RMSC 2773/24,none;,,fragment,unk,,,,,,054,qatar_item,combs,"/img/derivatives/iiif/images/55/full/250,/0/default.jpg","/img/derivatives/iiif/images/55/full/1140,/0/default.jpg",/img/derivatives/iiif/55/manifest.json
56,Steele,Steele,1640-1660,RMSC 6000/100,bone,187. Incomplete comb in andouiller. Its handle has the shape of a poison tail with two perforations at the end. An eagle is incised on the handle He had more than 13 teeth. It has a residual length of 11 xxviii cm and a width of 5.8 cm. It comes from the Northwest Cemetery of the Seneca Steele site dating from 1635-1650 AD. J.-C. (RMSC 6000/100,none;,13,incomplete,funerary,,,,11,5.8,055,qatar_item,combs,"/img/derivatives/iiif/images/56/full/250,/0/default.jpg","/img/derivatives/iiif/images/56/full/1140,/0/default.jpg",/img/derivatives/iiif/56/manifest.json
57,Steele,Steele,1640-1660,RMSC 436/100,bone,261. Incomplete comb. Its carved handle depicts a European Trickster standing in an arch and holding a bird in each hand. The features of the face clothes and hat are incised. The eyes of birds are represented by punctuations. Incisions are also found on the birds and on the base. It measures 10.9 cm in length and 7.4 cm in width. Its teeth very damaged represent 36% of its total length. It comes from the seneca Steele site dating from 1635-1650 AD. J.-C. (RMSC 436/100,human; european; sojasko; bird; single; dual; arbor; symmetrical;,,incomplete,unk,,,,10.9,7.4,056,qatar_item,combs,"/img/derivatives/iiif/images/57/full/250,/0/default.jpg","/img/derivatives/iiif/images/57/full/1140,/0/default.jpg",/img/derivatives/iiif/57/manifest.json
58,Steele,Steele,1640-1660,RMSC 435/100,bone,304. Incomplete and unfinished comb guide lines are visible on the handle which has not been completely carved in the shape of two mirrored bears. Three horizontal lines are incised on the base. It had more than 15 teeth which forms 42% of its total length. It has a height of about 6.7 cm and a width of 3.2 cm. It comes from the seneca Steele site dated to 1635-1650 AD. J.-C. (RMSC 435/100,mammal; bear; dual; symmetrical;,15,incomplete,unk,,,,6.7,3.2,057,qatar_item,combs,"/img/derivatives/iiif/images/58/full/250,/0/default.jpg","/img/derivatives/iiif/images/58/full/1140,/0/default.jpg",/img/derivatives/iiif/58/manifest.json
59,Steele,Steele,1640-1660,RMSC 6070/100,bone,226.	$39. Incomplete double dentition comb. Its base is decorated with horizontal incisions at the base of the teeth and three rows of zigzags on the base. It has a perforation at one end. It has a length of 5.5 cm and a width of 7 cm. It comes from the seneca Steele site dated 1635-1650 AD. J.-C. (RMSC 6070/100,none;,,incomplete,unk,,,,5.5,7,058,qatar_item,combs,"/img/derivatives/iiif/images/59/full/250,/0/default.jpg","/img/derivatives/iiif/images/59/full/1140,/0/default.jpg",/img/derivatives/iiif/59/manifest.json
60,Steele,Steele,1640-1660,RMSC 55 1/100,bone,399. Four fragments of double-dentition comb. Its teeth are thinner on one side than on the other. Its base is decorated with horizontal incisions at the base of the teeth. It comes from the seneca Steele site dated 1635-1650 AD. A.D. (RMSC 55 1/100,none;,,fragment,unk,,,,,,059,qatar_item,combs,"/img/derivatives/iiif/images/60/full/250,/0/default.jpg","/img/derivatives/iiif/images/60/full/1140,/0/default.jpg",/img/derivatives/iiif/60/manifest.json
61,Steele,Steele,1640-1660,RMSC 12716/100,bone,400. comb fragment with double dentition with rounded edges. It comes from the seneca Steele site dated 1635-1650 AD. J.-C. (RMSC 12716/100,none;,,fragment,unk,,,,,,060,qatar_item,combs,"/img/derivatives/iiif/images/61/full/250,/0/default.jpg","/img/derivatives/iiif/images/61/full/1140,/0/default.jpg",/img/derivatives/iiif/61/manifest.json
62,Steele,Steele,1640-1660,RMSC 6517,bone,401. Incomplete double dentition comb. Its teeth are thinner on one side than on the other. Its base is decorated with two series of two horizontal lines. It has a length of 5.8 cm and a residual width of 7.4 cm. It comes from the seneca Steele site dated 1635-1650 AD. J.-C. (RMSC 6517/100,none;,,incomplete,unk,,,,5.8,7.4,061,qatar_item,combs,"/img/derivatives/iiif/images/62/full/250,/0/default.jpg","/img/derivatives/iiif/images/62/full/1140,/0/default.jpg",/img/derivatives/iiif/62/manifest.json
63,Steele,Steele,1640-1660,RMSC 6442/1 00,bone,431. Fragment of comb with double dentition. Its base is decorated with two series of two horizontal lines. It comes from the seneca SteeÏe site dated 1635-1650 A.D. (RMSC 6442/1 00),none;,,fragment,unk,,,,,,062,qatar_item,combs,"/img/derivatives/iiif/images/63/full/250,/0/default.jpg","/img/derivatives/iiif/images/63/full/1140,/0/default.jpg",/img/derivatives/iiif/63/manifest.json
64,Steele,Steele,1640-1660,RMSC 6068/100,wood,436. wooden comb fragments. It comes from the seneca Steele site dating from 1635 to 1650 AD. J.-C. (RMSC 6086/100,none;,,fragment,unk,,,,,,063,qatar_item,combs,"/img/derivatives/iiif/images/64/full/250,/0/default.jpg","/img/derivatives/iiif/images/64/full/1140,/0/default.jpg",/img/derivatives/iiif/64/manifest.json
65,Dann,Dann,1655-1675,NYSM 21541,bone,Incomplete bone comb. He had more than 17 teeth. Its handle was carved with two birds facing each other separated by a stud. The body of a single bird remains. The body of the bird is decorated with punctuations and the amount with incised lines. It has a residual length of 9.3 cm and a width of 5.1 cm. It comes from the Dann site a Seneca site dated 1655-1675 AD. J.-C. 11 was found in a funeral context. (NYSM 21541,bird; dual; column; symmetrical;,17,incomplete,funerary,,,,9.3,5.1,064,qatar_item,combs,"/img/derivatives/iiif/images/65/full/250,/0/default.jpg","/img/derivatives/iiif/images/65/full/1140,/0/default.jpg",/img/derivatives/iiif/65/manifest.json
66,Dann,Dann,1655-1675,NYSM 21534,bone,bone comb fragment. It has $ teeth left and has a residual length of 6.9 cm and a residual width of 3 cm. The handle is carved and decorated with incised lines. It comes from the funerary context of the seneca Dann site dating from 1655-1675 AD. J.-C. (NYSM 21534),none;,,fragment,funerary,,,,6.9,3,065,qatar_item,combs,"/img/derivatives/iiif/images/66/full/250,/0/default.jpg","/img/derivatives/iiif/images/66/full/1140,/0/default.jpg",/img/derivatives/iiif/66/manifest.json
67,Dann,Dann,1655-1675,NYSM 2153,bone,Bone comb incomplete. The handle is carved with the effigy of two animals probably otters facing each other separated by a stud. It has a residual length of 7cm and a width of 3.8cm. His teeth are all broken they were probably 10 in number. This comb was found in a funerary context at the Dann site a Seneca site dated to 1655-1675 AD. J.-C. (NYSM 2153?),mammal; dual; otter; column; symmetrical;,10,incomplete,funerary,,,,7,3.8,066,qatar_item,combs,"/img/derivatives/iiif/images/67/full/250,/0/default.jpg","/img/derivatives/iiif/images/67/full/1140,/0/default.jpg",/img/derivatives/iiif/67/manifest.json
68,Dann,Dann,1655-1675,NYSM 21540,bone,Incomplete bone comb. Its carved handle depicts a human being in an arch or holding a stick. He has 8 teeth left all broken. It has a residual length of 7 cm and a residual width of 2.3 cm. It comes from a funerary context from the Dann site a Seneca village dating from 1655-1675 A.D. (NYSM 21540,human; man; arbor; single;,8,incomplete,funerary,,,,7,2.3,067,qatar_item,combs,"/img/derivatives/iiif/images/68/full/250,/0/default.jpg","/img/derivatives/iiif/images/68/full/1140,/0/default.jpg",/img/derivatives/iiif/68/manifest.json
69,Dann,Dann,1655-1675,NYSM 35127,bone,Bone comb incomplete. The handle is carved with the effigy of two bears facing each other separated by a stud It had more than nine teeth all broken. Its residual length is 6 cm and its width is 3.9 cm. It comes from the Dann site a Seneca site dated 1655-1675 AD. It was found in a funerary context li is very similar to the comb #30l. (NYSM 35127,mammal; dual; bear; column; symmetrical;,9,incomplete,funerary,,,,6,3.9,068,qatar_item,combs,"/img/derivatives/iiif/images/69/full/250,/0/default.jpg","/img/derivatives/iiif/images/69/full/1140,/0/default.jpg",/img/derivatives/iiif/69/manifest.json
70,Dann,Dann,1655-1675,NYSM 35570,bone,Two fragments of bone comb. It has a residual length of 9.2 cm. It comes from the funerary context of the Seneca Dann site dating from 1655 to 1675 AD]. -C. (NYSM 35570,none;,,fragment,funerary,,,,9.2,,069,qatar_item,combs,"/img/derivatives/iiif/images/70/full/250,/0/default.jpg","/img/derivatives/iiif/images/70/full/1140,/0/default.jpg",/img/derivatives/iiif/70/manifest.json
71,Dann,Dann,1655-1675,NYSM 21532,bone,Incomplete bone comb. He had 20 teeth all broken. Its handle is carved and depicts a human being holding sticks on the left and a bird on the right. Lines incised in crosses are found on xlii the base of the comb. It has a residual length of 8.4 cm and a width of 4.6 cm. It comes from a funerary context from the Dann site a Seneca village dating from 1655-1675 AD. J.-C. (NYSM 21532,human; man; bird; sojasko; single; dual;,20,incomplete,funerary,,,,8.4,4.6,070,qatar_item,combs,"/img/derivatives/iiif/images/71/full/250,/0/default.jpg","/img/derivatives/iiif/images/71/full/1140,/0/default.jpg",/img/derivatives/iiif/71/manifest.json
72,Dann,Dann,1655-1675,NYSM 21538,bone,20. Almost complete bone comb. He has 14 teeth three of which are broken. They form 40% of the comb. It measures 5.3 cm in length and 3.2 cm in width. Its rectangular handle is carved perhaps unfinished and reminiscent of bird shapes. 11 comes from a funerary context from the Dann site a Seneca site dating from 1655-1675 AD. J.-C. (NYSM $2153).,bird; dual; symmetrical;,14,complete,funerary,,,,5.3,3.2,071,qatar_item,combs,"/img/derivatives/iiif/images/72/full/250,/0/default.jpg","/img/derivatives/iiif/images/72/full/1140,/0/default.jpg",/img/derivatives/iiif/72/manifest.json
73,Dann,Dann,1655-1675,NYSM 21539,bone,26. Incomplete double dentition comb in bone or andouiller. Its teeth are thinner on one side than on the other. Its base is decorated with two series of two horizontal lines. It has a residual length of 7 cm and a width of 5.2 cm. It comes from the seneca Dann site dated 1655-1675 AD. J.-C. (NYSM 21539,none;,,incomplete,unk,,,,7,5.2,072,qatar_item,combs,"/img/derivatives/iiif/images/73/full/250,/0/default.jpg","/img/derivatives/iiif/images/73/full/1140,/0/default.jpg",/img/derivatives/iiif/73/manifest.json
74,Dann,Dann,1655-1675,NYSM 20983,bone,27. Complete bone comb. The handle is decorated with two carved bears facing each other but not quite symmetrical. Both animals rely on a central amount. The comb is 9 cm long and 3.6 cm wide. Its 14 teeth form 38% of its total length. It comes from the Dann site a Seneca site dating from 1655-1675 AD. J.-C. (NYSM 20983,mammal; dual; bear; column;,14,complete,unk,,,,9,3.6,073,qatar_item,combs,"/img/derivatives/iiif/images/74/full/250,/0/default.jpg","/img/derivatives/iiif/images/74/full/1140,/0/default.jpg",/img/derivatives/iiif/74/manifest.json
75,Dann,Dann,1655-1675,NYSM 21632,bone,28. Incomplete comb. Its handle is carved with the effigy of two indeterminate mirrored animals whose heads are turned backwards. The base of the comb is decorated with incisions: horizontal lines and chevrons It has 29 teeth that form 42% of the total length of the comb. It measures 7.8 cm in length and 6.3 cm in width. It comes from a funerary context from the Dann site dated to 1655-1675 AD]. -C. (NYSM 21632,mammal; dual; symmetrical;,29,incomplete,funerary,,,,7.8,6.3,074,qatar_item,combs,"/img/derivatives/iiif/images/75/full/250,/0/default.jpg","/img/derivatives/iiif/images/75/full/1140,/0/default.jpg",/img/derivatives/iiif/75/manifest.json
76,Dann,Dann,1655-1675,NYSM 21159,bone,29. Incomplete bone comb. The carved handle depicts two wolves facing each other touching each other through the muzzle and front legs. The base of the comb is incised with four horizontal lines. He had 22 teeth which account for 41% of his total height. It is 11.7 cm long and 6.3 cm wide. 11 comes from the seneca Dann site dating from 1655-1675 AD. J.-C. (NYSM 21159,mammal; dual; wolf; symmetrical;,22,incomplete,unk,,,,11.7,6.3,075,qatar_item,combs,"/img/derivatives/iiif/images/76/full/250,/0/default.jpg","/img/derivatives/iiif/images/76/full/1140,/0/default.jpg",/img/derivatives/iiif/76/manifest.json
77,Dann,Dann,1655-1675,NYSM 21161,bone,30. Bone comb incomplete. The carved handle depicts two herons facing each other whose beaks form an upright that separates them. Cross incisions are visible on the base. This comb is 12 cm long and 4.5 cm wide. 11 had more than 16 teeth that form 39% of the total length of the comb. It comes from the seneca Dann site dating from 1655-1675 AD. J.-C. (NYSM 21161,bird; dual; heron; symmetrical; column;,16,incomplete,unk,,,,12,4.5,076,qatar_item,combs,"/img/derivatives/iiif/images/77/full/250,/0/default.jpg","/img/derivatives/iiif/images/77/full/1140,/0/default.jpg",/img/derivatives/iiif/77/manifest.json
78,Dann,Dann,1655-1675,,bone,31. Fragment of comb in andouiller. It has its teeth left and has a residual length of 11.6 cm and a residual width of 3.1 cm. It comes from the Seneca Dann site dating from 1655-1675 AD. J.-C. xv,none;,,fragment,unk,,,,11.6,3.1,077,qatar_item,combs,"/img/derivatives/iiif/images/78/full/250,/0/default.jpg","/img/derivatives/iiif/images/78/full/1140,/0/default.jpg",/img/derivatives/iiif/78/manifest.json
79,Dann,Dann,1655-1675,NYSM 21162,bone,32. Incomplete bone comb. Its handle is carved and represents a wolf in profile. It is 9.2 cm long and 5.9 cm wide. He had around 17 teeth all broken. It comes from the seneca Dann site. dated to 1655-1675 AD J.-C. (NYSM 21162,mammal; single; wolf;,17,incomplete,unk,,,,9.2,5.9,078,qatar_item,combs,"/img/derivatives/iiif/images/79/full/250,/0/default.jpg","/img/derivatives/iiif/images/79/full/1140,/0/default.jpg",/img/derivatives/iiif/79/manifest.json
80,Dann,Dann,1655-1675,NYSM 20985,bone,35. Bone comb almost complete. Its rectangular handle is not decorated. He has 16 teeth one of which is broken. They form 44% of the comb. It measures 9 cm in length and 5.3 cm in width. 11 comes from the Dann site a Seneca site dating from 1655-1675 AD. J.-C. (NYSM 20985,none;,16,complete,unk,,,,5.3,11,079,qatar_item,combs,"/img/derivatives/iiif/images/80/full/250,/0/default.jpg","/img/derivatives/iiif/images/80/full/1140,/0/default.jpg",/img/derivatives/iiif/80/manifest.json
81,Dann,Dann,1655-1675,NYSM 21163,bone,36. Bone comb incomplete. The handle is decorated with two carved animals the elongated shape of which can recall otters. The two effigies face each other separated by an amount. The entire handle is incised with braces. He originally had 17 teeth all broken. Its residual length is 12.6 cm and its width is 6 cm. This comb comes from the seneca Dann site dating from 1655-1675 AD. J.-C. (NYSM 21163,mammal; dual; otter; column; symmetrical;,17,incomplete,unk,,,,12.6,6,080,qatar_item,combs,"/img/derivatives/iiif/images/81/full/250,/0/default.jpg","/img/derivatives/iiif/images/81/full/1140,/0/default.jpg",/img/derivatives/iiif/81/manifest.json
82,Dann,Dann,1655-1675,NYSM 36367,bone,40. Incomplete comb and very damaged bone. Its handle is carved and depicts a European Trickster in the position of an eagle deployed having probably held two birds in his mams. It has a length of 9.1 cm and a width of 5.3 cm. It had around 20 teeth which make up 39% of its total length. It comes from the seneca Dann site dating from 1655-1675 AD. J.-C. (NYSM 36367),man; european; sojasko; hocker; bird; dual; symmetrical; single;,20,incomplete,unk,,,,9.1,5.3,081,qatar_item,combs,"/img/derivatives/iiif/images/82/full/250,/0/default.jpg","/img/derivatives/iiif/images/82/full/1140,/0/default.jpg",/img/derivatives/iiif/82/manifest.json
83,Dann,Dann,1655-1675,NYSM 35040,bone,41. Incomplete bone comb. Its handle has a rather triangular shape with side notches at the top as well as a perforation. li had more than 20 teeth. It has a residual length of 9.4 cm and a width of 6.2 cm. It comes from the seeca Daim site dating from 1655-1675 AD. J.-C. (NYSM 35040,triangular;,20,incomplete,unk,,,,9.4,6.2,082,qatar_item,combs,"/img/derivatives/iiif/images/83/full/250,/0/default.jpg","/img/derivatives/iiif/images/83/full/1140,/0/default.jpg",/img/derivatives/iiif/83/manifest.json
84,Dann,Dann,1655-1675,NYSM 36372,bone,42. Incomplete bone comb. Its handle is decorated with the effigy of two bears. He has 14 teeth. It measures 18.6 cm in length and 5.6 cm in width. It comes from the Seneca Dann site dating from 1655-1675 AD. J.-C. (NYSM 36372,mammal; bear; dual; symmetrical;,14,incomplete,unk,,,,18.6,5.6,083,qatar_item,combs,"/img/derivatives/iiif/images/84/full/250,/0/default.jpg","/img/derivatives/iiif/images/84/full/1140,/0/default.jpg",/img/derivatives/iiif/84/manifest.json
85,Dann,Dann,1655-1675,RMSC 576/28,bone,182. Almost complete comb in andouiller. Carved triangular handle. It has teeth that form 29% of the comb. It measures 13 cm in length and 4.1 cm in width. It comes from the seneca Dann site 1655-1675 AD.C. (RMSC 576/28,triangular;,11,complete,unk,,,,13,4.1,084,qatar_item,combs,"/img/derivatives/iiif/images/85/full/250,/0/default.jpg","/img/derivatives/iiif/images/85/full/1140,/0/default.jpg",/img/derivatives/iiif/85/manifest.json
86,Dann,Dann,1655-1675,RMSC 153 1/28,bone,189. Incomplete comb in andouiller. Its handle has a pentagonal shape and is perforated at the top. He had around 11 teeth. It has a residual length of 6.9 cm and a width of 3.8 cm. It comes from the seneca Dann site 1655-1675 AD. J.-C. (RMSC 153 1/28,none;,11,incomplete,unk,,,,6.9,3.8,085,qatar_item,combs,"/img/derivatives/iiif/images/86/full/250,/0/default.jpg","/img/derivatives/iiif/images/86/full/1140,/0/default.jpg",/img/derivatives/iiif/86/manifest.json
87,Dann,Dann,1655-1675,RMSC 13157/28,bone,201. Bone comb incomplete having had a minimum of four teeth. The rectangular handle is not decorated and has a perforation in the top in the center. One can see guide lines drawn before the sculpture. It measures about 5.1 cm in length and 1.4 cm in width. Its teeth form 73% of its total length It comes from the seneca Daim site (NY) dating from 1655-1675 AD. J.-C. (RMSC 1315712,none;,4,incomplete,unk,,,,5.1,1.4,086,qatar_item,combs,"/img/derivatives/iiif/images/87/full/250,/0/default.jpg","/img/derivatives/iiif/images/87/full/1140,/0/default.jpg",/img/derivatives/iiif/87/manifest.json
88,Dann,Dann,1655-1675,RMSC AR 18456,bone,210. Comb in andouiller incomplete. Undecorated rectangular handle. The remaining part is 7.5 cm long and 6.3 cm wide. Site seneca Dann 1655-1675 AD J.-C. (RMSC AR 18456,none;,,incomplete,unk,,,,7.5,6.3,087,qatar_item,combs,"/img/derivatives/iiif/images/88/full/250,/0/default.jpg","/img/derivatives/iiif/images/88/full/1140,/0/default.jpg",/img/derivatives/iiif/88/manifest.json
89,Dann,Dann,1655-1675,RMSC 794/28,bone,224. Incomplete comb.  Its carved handle depicts a European on horseback a rifle in his hand. He has 15 teeth all broken. It has a residual length of 11.3 cm and a maximum width of 6.7 cm. It comes xxxi from a burial (#31) of the seneca Dann site dating from 1655-1675 AD. J.-C. (RMSC 794/28). (Wray 1963-39,human; european; horse; rifle; single;,15,incomplete,funerary,,,,11.3,6.7,088,qatar_item,combs,"/img/derivatives/iiif/images/89/full/250,/0/default.jpg","/img/derivatives/iiif/images/89/full/1140,/0/default.jpg",/img/derivatives/iiif/89/manifest.json
90,Dann,Dann,1655-1675,RMSC 13093/28,bone,227. Almost complete comb. Its carved handle depicts two human effigies in an arch separated by a stud. The eyes and mouths of the characters seem encrusted with mother-of-pearl or copper. Cross-sections framed by horizontal lines are located on the base. Incisions are also found on the arch. This comb has 17 teeth that form 35% of its height. It has a length of 9.7 cm and a width of 5.3 cm. It comes from a burial (#l I) found on the Dann site a Seneca village dating from 1655-1675 AD. J.-C. (RMSC 13093/28,human; dual; arbor; column; symmetrical;,17,complete,funerary,,,,9.7,5.3,089,qatar_item,combs,"/img/derivatives/iiif/images/90/full/250,/0/default.jpg","/img/derivatives/iiif/images/90/full/1140,/0/default.jpg",/img/derivatives/iiif/90/manifest.json
91,Dann,Dann,1655-1675,RMSC 833/28,bone,$22. Incomplete comb He had more than 22 teeth most of which are broken. Its handle is carved and depicts two human beings facing each other and holding a stick (?) between them. Landmarks are visible everywhere on the comb having served to guide the artist in his sculpture. The comb is 13.9 cm long and 7.6 cm wide. Its teeth account for 38% of its total length. It comes from the Dann site a Seneca village dating from 1655-1675 AD. J.-C. (RMSC 833/28),human; dual; column; symmetrical;,22,incomplete,unk,,,,13.9,7.6,090,qatar_item,combs,"/img/derivatives/iiif/images/91/full/250,/0/default.jpg","/img/derivatives/iiif/images/91/full/1140,/0/default.jpg",/img/derivatives/iiif/91/manifest.json
92,Dann,Dann,1655-1675,RMSC 5640/28,bone,235. human figurine probably from a seneca comb from the Dann site dating from 1655-1675 AD. J.-C. (RMSC 5640/28,human; single;,,fragment,,,,,,,091,qatar_item,combs,"/img/derivatives/iiif/images/92/full/250,/0/default.jpg","/img/derivatives/iiif/images/92/full/1140,/0/default.jpg",/img/derivatives/iiif/92/manifest.json
93,Dann,Dann,1655-1675,RMSC 581/28,bone,253. Incomplete comb. Four human heads are carved on its handle. Four perforations placed in a horizontal line pierce the base of the comb. It had 17 teeth It has a residual length of 5.3 cm and a width of 4.4 cm. It comes from the seneca Dann site dated 1655-1675 AD. J.-C. (RMSC 5$l/2$,human; quadruple; bust;,17,incomplete,unk,,,,5.3,4.4,092,qatar_item,combs,"/img/derivatives/iiif/images/93/full/250,/0/default.jpg","/img/derivatives/iiif/images/93/full/1140,/0/default.jpg",/img/derivatives/iiif/93/manifest.json
94,Dann,Dann,1655-1675,RMSC 13156/28,bone,264. Incomplete bone comb. Its carved handle depicts a human being in the position of an eagle deployed in an arch. Semicircles and horizontal lines are incised on its base. tI had 16 teeth all broken. It has a residual length of 10.9 cm and a width of 5.8 cm. It comes from the seneca Dann site dating from 1655-1675 AD. J.-C. (RMSC 13156/28,human; hocker; single; arbor; symmetrical;,16,incomplete,unk,,,,10.9,5.8,093,qatar_item,combs,"/img/derivatives/iiif/images/94/full/250,/0/default.jpg","/img/derivatives/iiif/images/94/full/1140,/0/default.jpg",/img/derivatives/iiif/94/manifest.json
95,Dann,Dann,1655-1675,RMSC 267/28,bone,270. Incomplete comb in andouiller. The handle is decorated with the effigy of a wolf. There were originally to be two face to face and separated by an amount. The animal's eye is perforated from side to side. The base of the comb is incised with chevrons framed by two horizontal lines. There are ten teeth left on this comb there must have been at least double. It measures about 13.2 cm in length and has a residual width of 3.2 cm. Its teeth form 32% of the total length of the comb. It comes from the seneca site of Dann dated 1655-1675 AD. J.-C. (RMSC 267/28,mammal; dual; symmetrical; wolf; column;,10,incomplete,unk,,,,13.2,3.2,094,qatar_item,combs,"/img/derivatives/iiif/images/95/full/250,/0/default.jpg","/img/derivatives/iiif/images/95/full/1140,/0/default.jpg",/img/derivatives/iiif/95/manifest.json
96,Dann,Dann,1655-1675,RMSC 779/28,bone,273. Incomplete comb. The handle is carved with the effigy of two herons facing each other whose beaks form a stud separating them. It is about 14.1 cm high and 7.8 cm wide. Its 21 teeth represent 35% of its total length. It comes from the seneca Dann site dating from 1655-1675 AD. J.-C. (RMSC 779/28,bird; dual; heron; symmetrical; column;,21,incomplete,unk,,,,14.1,7.8,095,qatar_item,combs,"/img/derivatives/iiif/images/96/full/250,/0/default.jpg","/img/derivatives/iiif/images/96/full/1140,/0/default.jpg",/img/derivatives/iiif/96/manifest.json
97,Dann,Dann,1655-1675,RMSC 168/28,bone,279. Incomplete comb in andouiller. Its handle is carved with two broken effigies of birds facing each other separated by a stud. Only one of his 14 teeth remains. It is about 10.8 cm high and 4.1 cm wide. Its teeth form 30% of its total length. It comes from the Daim site a Seneca site dating from 1655-1675 AD. J.-C. (RMSC 168/28,bird; dual; column; symmetrical;,14,incomplete,unk,,,,10.8,4.1,096,qatar_item,combs,"/img/derivatives/iiif/images/97/full/250,/0/default.jpg","/img/derivatives/iiif/images/97/full/1140,/0/default.jpg",/img/derivatives/iiif/97/manifest.json
98,Dann,Dann,1655-1675,RMSC 3985/28,bone,280. Incomplete comb in andouiller. Its carved handle depicts two birds probably herons face to face separated by a stud formed by their beaks. We see a reference line at the base of the handle. 11 has 14 teeth that form 39% of its total length. It is about 13.1 cm high and 6 cm wide. This comb comes from the Dann site a Seneca site dated 1655-1675 AD. J.-C. (RMSC 3985/28,bird; dual; heron; symmetrical; column;,14,incomplete,unk,,,,13.1,6,097,qatar_item,combs,"/img/derivatives/iiif/images/98/full/250,/0/default.jpg","/img/derivatives/iiif/images/98/full/1140,/0/default.jpg",/img/derivatives/iiif/98/manifest.json
99,Dann,Dann,1655-1675,RMSC 8 17/28,bone,$2!. Incomplete comb whose handle represents two herons face to face separated by a stud formed by their beaks. He probably had more than 16 teeth. it has a residual length of about 9.7 cm and a width of about 5.1 cm. It comes from the seneca Dann site dated 1655-1675 AD. J.-C. (RMSC 8 17/28,bird; dual; heron; symmetrical; column;,16,incomplete,unk,,,,9.7,5.1,098,qatar_item,combs,"/img/derivatives/iiif/images/99/full/250,/0/default.jpg","/img/derivatives/iiif/images/99/full/1140,/0/default.jpg",/img/derivatives/iiif/99/manifest.json
100,Dann,Dann,1655-1675,RMSC 274/28,bone,287. Incomplete comb probably broken in two. The handle is carved with a bird (probably two originally facing each other). The body of the animal and the base of the comb are incised. The eye is underlined by punctuation. The remaining part of the comb has 10 teeth. It measures about 11.5 cm in height and has a residual width of xxxvii of 3.4 cm. Its teeth form 43% of its total length. It comes from the seneca Dann site dating from 1655-1675 AD. (RMSC 274/28,bird; dual; symmetrical;,10,incomplete,unk,,,,11.5,3.4,099,qatar_item,combs,"/img/derivatives/iiif/images/100/full/250,/0/default.jpg","/img/derivatives/iiif/images/100/full/1140,/0/default.jpg",/img/derivatives/iiif/100/manifest.json
101,Dann,Dann,1655-1675,RMSC 71/28,bone,$29. Almost complete comb two of its 18 teeth are broken. The handle is carved with a symmetrical intricate pattern. The top of the handle represents two mammiferes perhaps beavers with their front legs joined. At the bottom of the handle are two inverted triangles that usually represent human heads. This comb is about 9.2 cm long and 5.1 cm wide. Its teeth form 37% of its total length. He was found in the grave of a Seneca teenager resting near his left shoulder. It comes from the Dann site dated 1655-1675 AD. J.-C. (RMSC 71/28) (Wray 1963:41,mammal; beaver; dual; symmetrical; triangular; bust; human;,18,complete,unk,,,,9.2,5.1,100,qatar_item,combs,"/img/derivatives/iiif/images/101/full/250,/0/default.jpg","/img/derivatives/iiif/images/101/full/1140,/0/default.jpg",/img/derivatives/iiif/101/manifest.json
102,Dann,Dann,1655-1675,RMSC 926/28,bone,299. Complete comb whose carved handle depicts two bears or cougars face to face. It is about 14 cm long and 7.2 cm wide. Its teeth form 28% of the length of the comb. It comes from a funeral context where it was found on the left shoulder of a woman. It comes from the seneca Daim site dating from 1655-1675 AD. J.-C. (RMSC 926/28) (Wray 1963: 41,mammal; bear; panther; dual; symmetrical;,,complete,funerary,female,adult,shoulder,14,7.2,101,qatar_item,combs,"/img/derivatives/iiif/images/102/full/250,/0/default.jpg","/img/derivatives/iiif/images/102/full/1140,/0/default.jpg",/img/derivatives/iiif/102/manifest.json
